datetime (YYYY-MM-DD hh:mm:ss),configuration,outdoor air temperature (C),cell A heating (Wh/sqft),cell A cooling (Wh/sqft),cell B heating (Wh/sqft),cell B cooling (Wh/sqft)
2019-08-20 19:00:00,Core-W,17.65763021138889,,1.201236882631634,0.11333449128649183,0.029990818581912552
2019-08-20 20:00:00,Core-W,16.663004439861112,,0.5592188361917299,0.6401004807330776,
2019-08-20 21:00:00,Core-W,16.141114649776366,,0.2718981675361228,0.5329053532915627,
2019-08-20 22:00:00,Core-W,15.554918013888885,,0.10554085973433429,0.3965140365461976,
2019-08-20 23:00:00,Core-W,15.348743569444446,,0.06386638396388258,0.3741091778026057,
2019-08-23 00:00:00,CorePlus-S,15.751279597222227,,0.24914815658229714,0.06643381837388888,
2019-08-23 01:00:00,CorePlus-S,16.00496811638889,,0.19289088381362923,0.07629051143907647,
2019-08-23 02:00:00,CorePlus-S,16.57129727138889,,0.13206981186899963,0.0759411862716415,
2019-08-23 03:00:00,CorePlus-S,16.012436849027775,,0.11649299745130065,0.06650088076944445,
2019-08-23 04:00:00,CorePlus-S,15.260744677777781,,0.07254301604143469,0.0667617767175,
2019-08-23 05:00:00,CorePlus-S,14.628847916666667,0.002227125271242907,2.6319543431829056,0.07611513746882974,
2019-08-23 06:00:00,CorePlus-S,14.192329680555556,0.001830296562382792,1.863652408671424,0.07521203707944978,
2019-08-23 07:00:00,CorePlus-S,14.224867828544062,0.004096341161662289,1.5998382845541068,0.27446004491725584,0.9830656078342511
2019-08-23 08:00:00,CorePlus-S,15.15460046652778,,2.412713190233077,0.5772810400520233,0.0028207506555601564
2019-08-23 09:00:00,CorePlus-S,17.367932912658766,,3.3938729462715673,0.006892293106247014,2.097250096691687
2019-08-23 10:00:00,CorePlus-S,17.78307170331215,,4.000302875760524,,2.8264998670801726
2019-08-23 11:00:00,CorePlus-S,17.778862268472224,,4.182991646220042,0.0007893722142034142,2.2318352481332724
2019-08-23 12:00:00,CorePlus-S,17.401390275416663,,3.8517766719986155,0.0011065473119281335,1.4402363456852147
2019-08-23 13:00:00,CorePlus-S,17.528902674583332,,4.277694320688426,0.0013227783649671892,1.496333497397896
2019-08-23 14:00:00,CorePlus-S,17.76435247198446,,4.368468272638592,0.004509521285766643,1.4652008482720624
2019-08-23 15:00:00,CorePlus-S,17.692495429722218,,4.679908039437937,,1.1393381659585307
2019-08-23 16:00:00,CorePlus-S,16.466931004583333,,4.249961318830246,0.2787164148858334,0.8066485681795725
2019-08-23 17:00:00,CorePlus-S,15.569556625277778,,3.6272599061718864,0.007070383931194945,0.7384360611205875
2019-08-23 18:00:00,CorePlus-S,15.407759791666667,,3.3862408587582586,0.06291034060435159,0.1258420401811612
2019-08-23 19:00:00,CorePlus-S,15.062912777777774,,0.7920017445923434,0.04527022632085807,0.008445341949417618
2019-08-23 20:00:00,CorePlus-S,14.795246180555557,,0.5196670707588462,0.06093244271671125,
2019-08-23 21:00:00,CorePlus-S,14.695459013888893,,0.40733337715751666,0.06694571327531862,
2019-08-23 22:00:00,CorePlus-S,14.688377790229882,,0.32470618332864265,0.05873567500012297,0.0001893323924094652
2019-08-23 23:00:00,CorePlus-S,14.874185652777777,,0.2557518688330544,0.047844011194181156,0.0015671157932322297
2019-08-26 00:00:00,CorePlus-S,17.709732051944446,,0.0664821065206757,0.029343970510555557,0.03933777446243094
2019-08-26 01:00:00,CorePlus-S,17.237831478750003,,0.047899927163055224,0.026860037568888894,0.03729921122139555
2019-08-26 02:00:00,CorePlus-S,17.73977893763889,,0.025536696166543586,0.030615819161379804,0.006546538227772766
2019-08-26 03:00:00,CorePlus-S,15.42312308583333,0.002072294420058509,0.00999394933882811,0.04789885827140548,
2019-08-26 04:00:00,CorePlus-S,15.320254109080496,0.0021585535244576497,0.009131688534305247,0.06028597001138683,
2019-08-26 05:00:00,CorePlus-S,15.731196302916665,0.00047092053688935974,1.8389295076255907,0.056079985992503564,
2019-08-26 06:00:00,CorePlus-S,16.708497249166665,0.0003527838887671709,0.8928294853842126,0.05061904444287993,5.3633677989413695e-05
2019-08-26 07:00:00,CorePlus-S,17.580435495277776,,0.6869926476108101,0.001475056547764216,0.18513344556857075
2019-08-26 08:00:00,CorePlus-S,17.267967371805558,,2.180414542026788,,0.2589167521882794
2019-08-26 09:00:00,CorePlus-S,19.34032240777778,,3.8166297936851006,0.0012007592503652962,1.110174769629322
2019-08-26 10:00:00,CorePlus-S,21.99378944013889,,4.082382504441858,,2.5891230406511423
2019-08-26 11:00:00,CorePlus-S,23.61276207777777,,6.487170508239904,0.01207180093472222,5.270693433865664
2019-08-26 12:00:00,CorePlus-S,23.91934110902778,,5.066682615022895,,3.2033104112686117
2019-08-26 13:00:00,CorePlus-S,24.242714061805554,,4.753691795739248,,3.047651309222222
2019-08-26 14:00:00,CorePlus-S,24.187139745833335,,4.99117804318104,,4.098159069916667
2019-08-26 15:00:00,CorePlus-S,22.58863182944444,,5.322004420267689,,4.662141493819587
2019-08-26 16:00:00,CorePlus-S,21.24606444944444,,5.496293083645571,0.0021464808164890136,2.1393946843347766
2019-08-26 17:00:00,CorePlus-S,18.945915594444443,,4.393610967800274,0.011325527573425791,1.5537664080374056
2019-08-26 18:00:00,CorePlus-S,16.982234041527775,,4.733637066979186,0.016371423259138658,0.5399206947717876
2019-08-26 19:00:00,CorePlus-S,15.272691711111115,0.0009367727405195559,0.8246948635671074,0.035805906370048185,0.0016682071760439215
2019-08-26 20:00:00,CorePlus-S,15.493750175555558,,0.5252766685794985,0.04499005513515467,
2019-08-26 21:00:00,CorePlus-S,16.69008797417338,,0.40001180495772565,0.04330417309968059,3.7890341891876055e-05
2019-08-26 22:00:00,CorePlus-S,16.282167444999995,,0.33013316179958346,0.03721199212206099,0.0004083659656679641
2019-08-26 23:00:00,CorePlus-S,14.75449738888889,,0.26654295165123126,0.04260741512543204,
2019-08-27 00:00:00,CorePlus-S,14.403155222222223,,0.21162801312241672,0.04570552132109132,
2019-08-27 01:00:00,CorePlus-S,15.416407413611113,,0.16329456050719968,0.04995215610460115,
2019-08-27 02:00:00,CorePlus-S,14.940115922499997,,0.134669615529726,0.04999728721979576,
2019-08-27 03:00:00,CorePlus-S,13.342500069444444,,0.110481534952735,0.05379987489294444,
2019-08-27 04:00:00,CorePlus-S,12.853681416666669,,0.0655223205807795,0.0630906959628326,
2019-08-27 05:00:00,CorePlus-S,12.93864166666667,,0.05959057132710674,0.06629237748894586,
2019-08-27 06:00:00,CorePlus-S,13.051262541666667,,0.07190324065112821,0.06394079637999812,
2019-08-27 07:00:00,CorePlus-S,14.210968402777779,0.0008732234107708611,0.40240296356473554,0.031094477262066548,0.15478677360432033
2019-08-27 08:00:00,CorePlus-S,16.269235381944448,,4.746025016028669,0.02055147274680739,0.11933867008887546
2019-08-27 09:00:00,CorePlus-S,18.90249412166667,,3.6193833431287623,0.003216404945051925,0.6465665873349399
2019-08-27 10:00:00,CorePlus-S,20.072636981666665,,3.721855713267567,0.00028410622764166963,0.9727363810065605
2019-08-27 11:00:00,CorePlus-S,21.608950974027778,,4.704660611766479,,3.542975311239573
2019-08-27 12:00:00,CorePlus-S,22.49273144347222,,3.8911822519653967,,4.68516755414042
2019-08-27 13:00:00,CorePlus-S,22.255057316706758,,4.900291709543464,,5.009814704414626
2019-08-27 14:00:00,CorePlus-S,21.935792001527783,,4.905422028507204,,3.711437203776399
2019-08-27 15:00:00,CorePlus-S,21.724706500138897,,5.368635473932979,,4.291576462192288
2019-08-27 16:00:00,CorePlus-S,21.512923474444438,,5.559797386359322,,5.387264115155916
2019-08-27 17:00:00,CorePlus-S,20.625144095972225,,4.413702586962581,,4.198316593228827
2019-08-27 18:00:00,CorePlus-S,19.57373069486111,,4.502078333073272,,2.302163118934765
2019-08-27 19:00:00,CorePlus-S,17.49365150083333,0.0009195268238175741,0.8076186815118274,0.020241222753738512,0.11882482645646614
2019-08-27 20:00:00,CorePlus-S,14.977579358333335,,0.5917548485759209,0.021937052550000002,0.034433182972230546
2019-08-27 21:00:00,CorePlus-S,14.043246111111111,,0.48195755878882857,0.026288303397319704,0.004197633636438973
2019-08-27 22:00:00,CorePlus-S,14.13037727777778,,0.3878952750138751,0.04469661478008159,
2019-08-27 23:00:00,CorePlus-S,14.210143888888886,,0.3296733804074759,0.04980556692426897,
2019-08-28 00:00:00,CorePlus-S,14.257234263888886,,0.2624888282129875,0.05052899349966625,
2019-08-28 01:00:00,CorePlus-S,14.502798166666667,,0.17647284019606324,0.04548098140298792,
2019-08-28 02:00:00,CorePlus-S,14.365200680555555,,0.13371077065825715,0.050137875603698596,
2019-08-28 03:00:00,CorePlus-S,14.518891277777776,,0.10643845184122243,0.05267364559774154,
