datetime (YYYY-MM-DD hh:mm:ss),configuration,outdoor air temperature (C),cell A boiler (Wh/sqft),cell B boiler (Wh/sqft),cell A chiller (Wh/sqft),cell B chiller (Wh/sqft),cell A ahu fan (Wh/sqft),cell B ahu fan (Wh/sqft),cell A hw pump (Wh/sqft),cell B hw pump (Wh/sqft),cell A hvac energy (Wh/sqft),cell B hvac energy (Wh/sqft)
2019-10-23 12:00:00,CorePlus-S,26.53217905236111,0.0,0.0,0.9578725126228288,0.35048196389069375,0.18835948326342594,0.10718443785787038,0.07568115629861111,0.07830283039444445,1.2219131521848658,0.5359692321430085
2019-10-23 13:00:00,CorePlus-S,27.102046328055547,0.0,0.0,1.1664061222908548,0.4696859989263242,0.29093030935763886,0.1291548824261574,0.0755542617886574,0.07829927611550927,1.532890693437151,0.6771401574679908
2019-10-23 14:00:00,CorePlus-S,27.696206614027776,0.0,0.0,1.08989660021089,0.8841397242945429,0.2673849481597222,0.1833731314775463,0.07558192236643518,0.07830677897222224,1.4328634707370473,1.1458196347443115
2019-10-23 15:00:00,CorePlus-S,27.941810146111106,0.0,0.0,1.0868199787294954,1.0184754525556374,0.25937960425208334,0.19630134296875,0.07559595665902778,0.07832845628310184,1.4217955396406066,1.2931052518074893
2019-10-23 16:00:00,CorePlus-S,28.345363223888896,0.0,0.0,1.073952986489061,0.8669036108907134,0.26493166710162036,0.1689312192729167,0.07563152496736111,0.07841719382407407,1.4145161785580425,1.1142520239877043
2019-10-23 17:00:00,CorePlus-S,26.576461830277783,0.0,0.0,0.8649689973762014,0.6664510570208368,0.19978586936087964,0.14232863976967594,0.07556670706990741,0.07848402247337964,1.1403215738069883,0.8872637192638924
2019-10-23 18:00:00,CorePlus-S,25.800820530277772,0.0,0.0,0.8410575712541795,0.6303502414190848,0.1566210558909722,0.14202321249398145,0.07552512197361111,0.07836493281874998,1.0732037491187627,0.8507383867318162
2019-10-23 19:00:00,CorePlus-S,24.92089482,0.1645087335547797,0.0,0.11756649712873281,0.0,0.08953579896458332,0.04801695325648148,0.07557635578541669,0.07832524744884257,0.44718738543351255,0.12634220070532406
2019-10-23 20:00:00,CorePlus-S,24.761066320922446,0.15189447681347815,0.0,0.0,0.0,0.08970058051180556,0.04726478094814815,0.07575664614953702,0.07855648645092592,0.3173517034748207,0.12582126739907407
2019-10-23 21:00:00,CorePlus-S,24.692304355138887,0.15245623487261611,0.0,0.0,0.0,0.08977195353541667,0.04726008875787037,0.07568889029722221,0.078427411425,0.317917078705255,0.12568750018287037
