datetime (YYYY-MM-DD hh:mm:ss),configuration,cell A lights (Wh/sqft),cell B lights (Wh/sqft)
2019-08-17 07:00:00,Core-W,0.8999875161432871,0.024785602234953703
2019-08-17 08:00:00,Core-W,0.9044185553342596,0.19257446435555556
2019-08-17 09:00:00,Core-W,0.9047143629590279,0.3075323432215278
2019-08-17 10:00:00,Core-W,0.9005853741157407,0.27472887833634263
2019-08-17 11:00:00,Core-W,0.9013944689155093,0.24324590245717595
2019-08-17 12:00:00,Core-W,0.9009698466782408,0.17506379346435183
2019-08-17 13:00:00,Core-W,0.8960763500564813,0.2799867672564814
2019-08-17 14:00:00,Core-W,0.8964608061847222,0.23883232219074074
2019-08-17 15:00:00,Core-W,0.9008556269361113,0.1942233171488426
2019-08-17 16:00:00,Core-W,0.901622053168287,0.10736218281550923
2019-08-17 17:00:00,Core-W,0.8997932817738425,0.1299670466388889
2019-08-17 18:00:00,Core-W,0.8979523179048612,0.09276350741689814
2019-08-17 19:00:00,Core-W,0.8879280532219905,0.005286371519675926
2019-08-17 20:00:00,Core-W,0.017625166724305554,0.005275781852314815
2019-08-17 21:00:00,Core-W,0.017386099207870372,0.005292389582870371
2019-08-17 22:00:00,Core-W,0.013126761500694445,0.0039693763537037045
2019-08-17 23:00:00,Core-W,0.017574771981944445,0.005294706044212963
2019-08-18 00:00:00,Core-W,0.017587379575,0.005292014055324074
2019-08-18 01:00:00,Core-W,0.01766289629351852,0.005285599167592593
2019-08-18 02:00:00,Core-W,0.01761335232129629,0.005287051113194444
2019-08-18 03:00:00,Core-W,0.017579385139583334,0.005280997119675927
2019-08-18 04:00:00,Core-W,0.017604885281018518,0.005281177
2019-08-18 05:00:00,Core-W,0.020849375119907403,0.005274390205324075
2019-08-18 06:00:00,Core-W,0.8994503405944445,0.005275780341666666
2019-08-18 07:00:00,Core-W,0.8961016069905092,0.024956935793750006
2019-08-18 08:00:00,Core-W,0.8965442904993054,0.18335127294212963
2019-08-18 09:00:00,Core-W,0.8988616789733795,0.3070068404627315
2019-08-18 10:00:00,Core-W,0.9049233518310184,0.2743944484002315
2019-08-18 11:00:00,Core-W,0.9039861153553242,0.24334840170185182
2019-08-18 12:00:00,Core-W,0.8978731895043982,0.17533232900787038
2019-08-18 13:00:00,Core-W,0.8976367775694448,0.28048675825925934
2019-08-18 14:00:00,Core-W,0.8963822942951387,0.2385001813738426
2019-08-18 15:00:00,Core-W,0.9011291912270833,0.17573052666712963
2019-08-18 16:00:00,Core-W,0.9019680726627315,0.09109748042060183
2019-08-18 17:00:00,Core-W,0.9016504574692129,0.2509231849210648
2019-08-18 18:00:00,Core-W,0.899463406424074,0.136019667449537
2019-08-18 19:00:00,Core-W,0.8911500643856483,0.005290583413888888
2019-08-18 20:00:00,Core-W,0.017461186448842595,0.005272494791898149
2019-08-18 21:00:00,Core-W,0.01717916608611111,0.005177201152777778
2019-08-18 22:00:00,Core-W,0.013453381726620372,0.004033915382407407
2019-08-18 23:00:00,Core-W,0.017595734270833333,0.0052807782733796296
2019-08-19 00:00:00,Core-W,0.017612647008564818,0.005285819736574073
2019-08-19 01:00:00,Core-W,0.01762741781712963,0.005290086418518519
2019-08-19 02:00:00,Core-W,0.0176679100337963,0.005293098844907407
2019-08-19 03:00:00,Core-W,0.01765133012569445,0.005296223759259261
2019-08-19 04:00:00,Core-W,0.017601634835185183,0.005288270965509259
2019-08-19 05:00:00,Core-W,0.02127397555300926,0.005287726844907408
2019-08-19 06:00:00,Core-W,0.9012278884546296,0.00528628380486111
2019-08-19 07:00:00,Core-W,0.8990094786252315,0.024971901112962967
2019-08-19 08:00:00,Core-W,0.8961166115231483,0.23763561241388892
2019-08-19 09:00:00,Core-W,0.9022020297606481,0.33498769019537034
2019-08-19 10:00:00,Core-W,0.903400672420602,0.27443735012685183
2019-08-19 11:00:00,Core-W,0.9000619882215276,0.24321318979652778
2019-08-19 12:00:00,Core-W,0.8991161332671297,0.17530622389629624
2019-08-19 13:00:00,Core-W,0.8992677291511575,0.2916305231115741
